"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.02.2024","1.337,40","1.358,80","1.362,00","1.325,40","2,84M","-1,57%"
"21.02.2024","1.358,80","1.380,00","1.390,00","1.338,80","1,38M","-1,48%"
"20.02.2024","1.379,20","1.388,20","1.401,00","1.374,20","1,16M","-0,65%"
"19.02.2024","1.388,20","1.410,60","1.416,00","1.385,00","1,10M","-1,52%"
"16.02.2024","1.409,60","1.409,00","1.420,00","1.403,00","856,75K","0,04%"
"15.02.2024","1.409,00","1.414,60","1.415,80","1.388,00","1,41M","-0,20%"
"14.02.2024","1.411,80","1.424,40","1.431,80","1.409,60","789,60K","-0,72%"
"13.02.2024","1.422,00","1.411,60","1.424,00","1.405,40","1,12M","0,94%"
"12.02.2024","1.408,80","1.426,20","1.431,00","1.400,00","1,69M","-1,14%"
"09.02.2024","1.425,00","1.441,40","1.466,40","1.420,20","2,15M","-0,93%"
"08.02.2024","1.438,40","1.462,00","1.467,60","1.435,00","1,14M","-2,14%"
"07.02.2024","1.469,80","1.483,00","1.484,20","1.462,00","1,10M","-0,51%"
"06.02.2024","1.477,40","1.496,60","1.499,80","1.471,20","2,14M","-1,11%"
"05.02.2024","1.494,00","1.446,20","1.498,00","1.443,60","2,69M","3,51%"
"02.02.2024","1.443,40","1.450,00","1.456,60","1.442,00","581,78K","-0,15%"
"01.02.2024","1.445,60","1.443,00","1.460,00","1.439,00","1,00M","0,46%"
"31.01.2024","1.439,00","1.435,00","1.449,00","1.430,60","687,51K","0,33%"
"30.01.2024","1.434,20","1.437,40","1.443,20","1.425,20","935,27K","-0,11%"
"29.01.2024","1.435,80","1.424,00","1.436,80","1.418,00","765,95K","0,86%"
"26.01.2024","1.423,60","1.443,00","1.443,80","1.420,60","913,77K","-0,85%"
"25.01.2024","1.435,80","1.450,00","1.459,80","1.431,00","797,47K","-0,82%"
"24.01.2024","1.447,60","1.434,20","1.450,00","1.433,40","1,25M","1,16%"
"23.01.2024","1.431,00","1.444,60","1.448,60","1.430,00","764,18K","-0,94%"
"22.01.2024","1.444,60","1.425,00","1.456,00","1.421,00","2,36M","-0,85%"
"19.01.2024","1.457,00","1.465,00","1.468,00","1.451,00","693,21K","-0,61%"
"18.01.2024","1.466,00","1.476,40","1.485,00","1.461,20","923,10K","-0,62%"
"17.01.2024","1.475,20","1.474,80","1.484,80","1.460,00","895,94K","0,03%"
"16.01.2024","1.474,80","1.498,00","1.498,00","1.467,00","908,45K","-1,17%"
"15.01.2024","1.492,20","1.504,00","1.515,00","1.482,80","828,41K","-0,53%"
"12.01.2024","1.500,20","1.508,00","1.509,20","1.497,60","455,49K","-0,35%"
"11.01.2024","1.505,40","1.516,00","1.520,00","1.493,60","1,15M","-0,50%"
"10.01.2024","1.513,00","1.489,00","1.522,60","1.489,00","1,35M","1,61%"
"09.01.2024","1.489,00","1.491,00","1.498,00","1.474,20","797,66K","0,12%"
"08.01.2024","1.487,20","1.480,40","1.493,60","1.480,40","448,08K","0,46%"
"05.01.2024","1.480,40","1.482,00","1.489,20","1.476,80","223,48K","0,05%"
"04.01.2024","1.479,60","1.490,00","1.497,20","1.474,00","263,65K","-0,35%"
"03.01.2024","1.484,80","1.466,20","1.485,20","1.465,00","167,61K","1,48%"
"29.12.2023","1.463,20","1.446,00","1.475,00","1.445,40","532,68K","1,05%"
"28.12.2023","1.448,00","1.450,20","1.464,00","1.440,40","895,67K","-0,18%"
"27.12.2023","1.450,60","1.476,40","1.480,00","1.450,00","1,01M","-1,73%"
"26.12.2023","1.476,20","1.480,00","1.496,00","1.475,00","693,64K","-0,12%"
"25.12.2023","1.478,00","1.470,00","1.489,80","1.455,20","871,85K","-0,78%"
"22.12.2023","1.489,60","1.484,80","1.508,00","1.471,20","1,20M","0,77%"
"21.12.2023","1.478,20","1.531,20","1.532,80","1.452,40","3,14M","-3,46%"
"20.12.2023","1.531,20","1.536,80","1.544,80","1.515,60","778,06K","-0,01%"
"19.12.2023","1.531,40","1.501,00","1.539,00","1.498,20","993,01K","2,03%"
"18.12.2023","1.501,00","1.506,00","1.509,20","1.494,00","808,74K","0,43%"
"15.12.2023","1.494,60","1.460,00","1.498,20","1.456,00","750,36K","2,36%"
"14.12.2023","1.460,20","1.510,00","1.514,40","1.455,00","590,83K","-3,14%"
"13.12.2023","1.507,60","1.493,00","1.510,60","1.484,20","335,73K","0,75%"
"12.12.2023","1.496,40","1.488,00","1.516,00","1.470,00","572,83K","0,36%"
"11.12.2023","1.491,00","1.536,00","1.542,00","1.475,20","728,04K","-2,64%"
"08.12.2023","1.531,40","1.514,00","1.542,00","1.514,00","380,36K","1,07%"
"07.12.2023","1.515,20","1.508,80","1.527,60","1.505,80","594,39K","0,62%"
"06.12.2023","1.505,80","1.547,80","1.549,80","1.495,00","964,48K","-2,37%"
"05.12.2023","1.542,40","1.508,40","1.549,00","1.508,40","990,73K","2,46%"
"04.12.2023","1.505,40","1.497,00","1.518,00","1.490,00","501,32K","0,36%"
"01.12.2023","1.500,00","1.511,00","1.521,00","1.493,60","500,26K","-0,66%"
"30.11.2023","1.510,00","1.495,00","1.523,00","1.482,20","531,79K","1,10%"
"29.11.2023","1.493,60","1.510,00","1.512,00","1.490,00","391,25K","-1,03%"
"28.11.2023","1.509,20","1.510,60","1.518,00","1.482,00","596,73K","-0,08%"
"27.11.2023","1.510,40","1.514,20","1.522,00","1.503,00","472,77K","-0,24%"
"24.11.2023","1.514,00","1.511,20","1.531,80","1.501,00","661,72K","0,19%"
"23.11.2023","1.511,20","1.525,00","1.525,00","1.510,80","463,43K","-0,96%"
"22.11.2023","1.525,80","1.539,80","1.546,60","1.515,80","790,32K","-0,86%"
"21.11.2023","1.539,00","1.545,60","1.546,00","1.530,00","410,80K","-0,43%"
"20.11.2023","1.545,60","1.542,00","1.548,00","1.528,60","468,85K","0,62%"
"17.11.2023","1.536,00","1.533,20","1.552,00","1.510,40","908,95K","-0,14%"
"16.11.2023","1.538,20","1.566,80","1.568,00","1.533,00","902,65K","-1,83%"
"15.11.2023","1.566,80","1.591,00","1.595,80","1.550,20","1,21M","-1,71%"
"14.11.2023","1.594,00","1.624,60","1.624,60","1.586,60","755,26K","-1,82%"
"13.11.2023","1.623,60","1.618,20","1.634,00","1.610,20","392,56K","0,33%"
"10.11.2023","1.618,20","1.615,40","1.628,40","1.602,00","480,07K","0,37%"
