"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.02.2024","135,65","135,05","135,84","133,00","5,24M","1,22%"
"21.02.2024","134,02","134,20","136,49","127,10","15,75M","0,03%"
"20.02.2024","133,98","139,79","140,18","132,80","9,04M","-4,15%"
"19.02.2024","139,78","140,12","140,68","139,29","3,03M","-0,24%"
"16.02.2024","140,12","141,15","142,25","140,05","3,18M","-0,73%"
"15.02.2024","141,15","140,52","141,79","139,25","5,56M","0,39%"
"14.02.2024","140,60","141,52","141,89","140,24","3,13M","-0,63%"
"13.02.2024","141,49","140,85","141,70","140,51","3,58M","0,67%"
"12.02.2024","140,55","141,24","141,67","139,70","2,84M","-0,33%"
"09.02.2024","141,01","140,83","142,30","140,20","3,07M","0,13%"
"08.02.2024","140,83","143,10","143,15","140,60","4,97M","-1,45%"
"07.02.2024","142,90","143,50","144,27","142,10","6,59M","-0,06%"
"06.02.2024","142,98","142,19","143,00","141,55","2,43M","0,73%"
"05.02.2024","141,95","142,50","143,25","141,50","5,76M","0,36%"
"02.02.2024","141,44","141,12","142,20","140,93","3,03M","0,30%"
"01.02.2024","141,02","142,30","143,65","140,56","4,01M","-0,72%"
"31.01.2024","142,04","140,69","142,67","140,27","6,86M","1,31%"
"30.01.2024","140,21","138,96","141,25","138,51","8,50M","0,91%"
"29.01.2024","138,95","139,50","141,77","138,01","3,80M","-0,06%"
"26.01.2024","139,03","139,07","140,25","138,85","2,58M","0,02%"
"25.01.2024","139,00","139,25","140,64","137,44","9,18M","-0,35%"
"24.01.2024","139,49","141,16","141,60","139,00","5,02M","-1,18%"
"23.01.2024","141,16","142,20","142,47","140,10","3,74M","-0,49%"
"22.01.2024","141,86","141,81","142,99","141,12","3,85M","0,11%"
"19.01.2024","141,70","141,23","142,40","139,88","5,21M","0,67%"
"18.01.2024","140,75","143,31","143,31","140,01","3,15M","-1,22%"
"17.01.2024","142,49","139,63","143,40","139,63","5,58M","2,05%"
"16.01.2024","139,63","141,88","142,00","139,00","5,24M","-1,59%"
"15.01.2024","141,88","143,32","144,16","141,18","4,49M","-0,75%"
"12.01.2024","142,95","143,97","144,74","142,76","4,47M","-0,35%"
"11.01.2024","143,45","141,67","144,39","139,77","7,79M","1,52%"
"10.01.2024","141,30","142,80","143,20","141,00","4,30M","-1,04%"
"09.01.2024","142,79","143,85","143,97","142,08","5,33M","-0,74%"
"08.01.2024","143,85","142,50","144,84","142,48","5,54M","0,95%"
"05.01.2024","142,50","143,80","145,93","142,46","17,14M","-3,98%"
"04.01.2024","148,41","149,39","150,28","147,39","11,99M","-0,60%"
"03.01.2024","149,30","147,12","149,49","145,86","8,25M","2,36%"
"29.12.2023","145,86","145,90","146,19","144,00","4,61M","0,33%"
"28.12.2023","145,38","147,06","149,80","142,18","16,71M","-0,76%"
"27.12.2023","146,50","139,30","149,46","139,20","33,35M","5,40%"
"26.12.2023","139,00","137,50","142,40","136,17","5,73M","1,57%"
"25.12.2023","136,85","136,06","137,78","134,56","7,13M","0,63%"
"22.12.2023","136,00","135,60","137,68","135,02","12,81M","0,53%"
"21.12.2023","135,28","130,80","135,40","129,22","14,33M","3,44%"
"20.12.2023","130,78","130,90","132,93","130,15","8,00M","-0,01%"
"19.12.2023","130,79","130,50","132,00","127,23","8,88M","0,32%"
"18.12.2023","130,37","125,67","130,45","125,66","12,58M","4,35%"
"15.12.2023","124,93","118,11","124,97","118,10","8,94M","5,20%"
"14.12.2023","118,76","120,89","122,27","118,30","5,11M","-1,55%"
"13.12.2023","120,63","117,80","120,85","117,53","3,69M","1,78%"
